date,uk_gdp,us_gdp,eurozone_gdp
2000-01-01,480212.0,13878.147,2108727.5
2000-04-01,483672.0,14130.908,2127946.8
2000-07-01,486617.0,14145.312,2142209.2
2000-10-01,489506.0,14229.765,2152418.5
2001-01-01,493575.0,14183.12,2176141.6
2001-04-01,495602.0,14271.694,2177035.2
2001-07-01,497938.0,14214.516,2181621.0
2001-10-01,499278.0,14253.574,2180375.3
2002-01-01,500794.0,14372.785,2185133.0
2002-04-01,503433.0,14460.848,2195199.4
2002-07-01,506386.0,14519.633,2205146.7
2002-10-01,509728.0,14537.58,2209187.6
2003-01-01,514031.0,14614.141,2203087.5
2003-04-01,518802.0,14743.567,2204059.7
2003-07-01,524213.0,14988.782,2218420.1
2003-10-01,528320.0,15162.76,2232523.8
2004-01-01,529996.0,15248.68,2244103.6
2004-04-01,532543.0,15366.85,2258094.5
2004-07-01,534447.0,15512.619,2263123.3
2004-10-01,536886.0,15670.88,2273064.9
2005-01-01,541028.0,15844.727,2279370.1
2005-04-01,545530.0,15922.782,2293072.3
2005-07-01,550552.0,16047.587,2310122.4
2005-10-01,556311.0,16136.734,2326176.0
2006-01-01,558314.0,16353.835,2348122.3
2006-04-01,559795.0,16396.151,2373899.0
2006-07-01,560675.0,16420.738,2386725.4
2006-10-01,562669.0,16561.866,2414645.4
2007-01-01,568845.0,16611.69,2431456.7
2007-04-01,574194.0,16713.314,2447788.6
2007-07-01,579605.0,16809.587,2457243.1
2007-10-01,584504.0,16915.191,2469779.7
2008-01-01,586690.0,16843.003,2485405.8
2008-04-01,583541.0,16943.291,2473140.4
2008-07-01,573961.0,16854.295,2459785.7
2008-10-01,561816.0,16485.35,2417390.1
2009-01-01,550451.0,16298.262,2343542.4
2009-04-01,548859.0,16269.145,2343585.8
2009-07-01,549540.0,16326.281,2352136.0
2009-10-01,551372.0,16502.754,2362449.6
2010-01-01,556002.0,16582.71,2371913.1
2010-04-01,562353.0,16743.162,2394280.5
2010-07-01,565659.0,16872.266,2404818.9
2010-10-01,565945.0,16960.864,2419199.6
2011-01-01,566873.0,16920.632,2442369.6
2011-04-01,566601.0,17035.114,2442060.6
2011-07-01,567586.0,17031.313,2442567.8
2011-10-01,568056.0,17222.583,2435104.1
2012-01-01,573416.0,17367.01,2429274.6
2012-04-01,573112.0,17444.525,2420658.0
2012-07-01,579051.0,17469.65,2417423.5
2012-10-01,578215.0,17489.852,2406956.3
2013-01-01,579749.0,17662.4,2398980.1
2013-04-01,583605.0,17709.671,2414733.0
2013-07-01,588076.0,17860.45,2421947.3
2013-10-01,591954.0,18016.147,2427006.7
2014-01-01,596696.0,17953.974,2438543.5
2014-04-01,602310.0,18185.911,2444250.3
2014-07-01,607213.0,18406.941,2456241.8
2014-10-01,611220.0,18500.031,2465312.8
2015-01-01,613076.0,18666.621,2483950.5
2015-04-01,615875.0,18782.243,2494445.5
2015-07-01,618263.0,18857.418,2505031.9
2015-10-01,621968.0,18892.206,2517548.3
2016-01-01,625099.0,19001.69,2529296.8
2016-04-01,629697.0,19062.709,2534262.7
2016-07-01,632477.0,19197.938,2546525.2
2016-10-01,636392.0,19304.352,2565927.9
2017-01-01,642463.0,19398.343,2586571.1
2017-04-01,647944.0,19506.949,2603763.8
2017-07-01,652329.0,19660.766,2622795.0
2017-10-01,657225.0,19882.352,2644200.1
2018-01-01,657741.0,20044.077,2645329.6
2018-04-01,659172.0,20150.476,2658731.0
2018-07-01,661262.0,20276.154,2660767.9
2018-10-01,662120.0,20304.874,2675156.4
2019-01-01,665456.0,20431.641,2694283.9
2019-04-01,666875.0,20602.275,2704009.2
2019-07-01,670547.0,20843.322,2709134.2
2019-10-01,670587.0,20985.448,2706428.2
2020-01-01,652180.0,20709.212,2618244.0
2020-04-01,522356.0,19077.992,2327580.3
2020-07-01,610972.0,20558.879,2596899.0
2020-10-01,619330.0,20791.917,2605604.8
2021-01-01,612665.0,21082.134,2625583.1
2021-04-01,655443.0,21440.929,2682882.5
2021-07-01,666498.0,21617.828,2729954.8
2021-10-01,675680.0,21988.737,2751648.9
2022-01-01,682527.0,21932.71,2771517.8
2022-04-01,686335.0,21967.045,2797583.9
2022-07-01,687029.0,22125.625,2810096.7
2022-10-01,688817.0,22278.345,2808750.5
2023-01-01,689206.0,22439.607,2807784.7
2023-04-01,689491.0,22580.499,2813210.1
2023-07-01,687839.0,22840.989,2812623.8
2023-10-01,685628.0,23033.78,2813910.2
2024-01-01,691198.0,23082.119,2821576.7
2024-04-01,695280.0,23286.508,2827947.1
2024-07-01,696853.0,23478.57,2840458.2
2024-10-01,698780.0,23586.542,2851314.8
2025-01-01,703373.0,23548.21,2867290.4
2025-04-01,704798.0,23770.976,2871443.9
2025-07-01,705187.0,24026.834,2879169.5
2025-10-01,705571.0,24111.83,2889150.0
